userName,content,score,at,appVersion,content_clean
Azka Barra,bagus bet makasih monton telah buat game sebagus ini,5,2025-10-08 10:02:13,2.1.18.11201,bagus bet makasih monton telah buat game sebagus ini
Vera Seftian,bagus banget aku suka game ini,5,2025-10-08 10:01:12,,bagus banget aku suka game ini
Jamet Keceya,bagussssssddddds,5,2025-10-08 09:59:45,1.9.70.10634,bagussssssddddds
Gameplay Play,"pesan buat moonton, tolonglah lh moonton di kasih keringanan buat kami yang, main di hp kentang dan jauh di pelosok², kami pengen juga main dengan nyaman, sering saya alami ketika bermain saat war terutama saat bertarung sama lawan tiba tiba saya mengalami ngelek jaringan langsung merah gk stabil, pertanyaan nya kenapa harus pas ad musuh, pas bertarung baru jaringan nya tidak bagus, sebelum nya bagus bagus aj, kenapa moonton, tolong ya ke pada moonton tolong di kasi keringanan lh kepada kami",2,2025-10-08 09:59:04,,"pesan buat moonton, tolonglah lh moonton di kasih keringanan buat kami yang, main di hp kentang dan jauh di pelosok², kami pengen juga main dengan nyaman, sering saya alami ketika bermain saat war terutama saat bertarung sama lawan tiba tiba saya mengalami ngelek jaringan langsung merah gk stabil, pertanyaan nya kenapa harus pas ad musuh, pas bertarung baru jaringan nya tidak bagus, sebelum nya bagus bagus aj, kenapa moonton, tolong ya ke pada moonton tolong di kasi keringanan lh kepada kami"
alif hudha,game kikir,5,2025-10-08 09:58:36,1.9.93.10904,game kikir
Main Game,"min tolong punya ku gk bisa masuk lobby padahal sinyal ok tiba-tiba gm nya bilang gini:""mohon maaf gagal menyambungkan periksa jangan"" padahal jaringan ku baguss min tolong di baless min🙏🙏",5,2025-10-08 09:56:02,,"min tolong punya ku gk bisa masuk lobby padahal sinyal ok tiba-tiba gm nya bilang gini:""mohon maaf gagal menyambungkan periksa jangan"" padahal jaringan ku baguss min tolong di baless min🙏🙏"
Aldi Nugraha,sangat bagus,5,2025-10-08 09:54:44,2.1.18.11201,sangat bagus
I nyoman Krisna yadnya,ini game apasih ga jelas bngt gua cuman afk sebentar trs balik lgi masih kena peringatan afk,2,2025-10-08 09:53:39,,ini game apasih ga jelas bngt gua cuman afk sebentar trs balik lgi masih kena peringatan afk
Rvldi ipall,"GAME RUSAKK NGASIH TIM YANG GA SEIMBANG LAWAKK , MANA JARINGAN SERING NGELAG",1,2025-10-08 09:48:40,2.1.18.11201,"game rusakk ngasih tim yang ga seimbang lawakk , mana jaringan sering ngelag"
Win Bomer,terbaik,5,2025-10-08 09:47:22,,terbaik
Muhammad afif Afif,"makin kesini gamenya buriq banget asli sumpah mending kalian unistall aja dehh, game yang gua mainin 6 tahun lamanya semakain jelek aja, masa jaringan bagus kok nggak bisa gerak, skill sama analognya nggak bisa di pencet, terutama di bagian analog kadang mencet sendiri, jadi nggak bisa reccal, udah vakum gw main game ini",1,2025-10-08 09:47:18,,"makin kesini gamenya buriq banget asli sumpah mending kalian unistall aja dehh, game yang gua mainin 6 tahun lamanya semakain jelek aja, masa jaringan bagus kok nggak bisa gerak, skill sama analognya nggak bisa di pencet, terutama di bagian analog kadang mencet sendiri, jadi nggak bisa reccal, udah vakum gw main game ini"
PawPaw,♡♡♡ i love this game for not having AI animation for their trailer ♡♡♡ pls dont change. ♡♡♡♡♡,5,2025-10-08 09:46:37,2.1.18.11201,♡♡♡ i love this game for not having ai animation for their trailer ♡♡♡ pls dont change. ♡♡♡♡♡
Achmad,"jangan main gem ini akan mengakibatkan ,stres,jarak makan,jarang sholat,dan lebih parah akn mengakibatkan marah-marah",1,2025-10-08 09:46:13,2.1.18.11201,"jangan main gem ini akan mengakibatkan ,stres,jarak makan,jarang sholat,dan lebih parah akn mengakibatkan marah-marah"
Motor Vario,game bangsat,1,2025-10-08 09:44:44,2.1.18.11201,game bangsat
Lena Rin,gem ini tidak seru gemburik,1,2025-10-08 09:42:38,2.1.18.11201,gem ini tidak seru gemburik
lutfi,game nya bisa bikin stress dan juga game nya banyak drak sistem di epik game ini sangat sangat buruk jangan sampai anak kecil men dawlod nya karena bisa ngerusakin hp,1,2025-10-08 09:42:06,1.9.99.10932,game nya bisa bikin stress dan juga game nya banyak drak sistem di epik game ini sangat sangat buruk jangan sampai anak kecil men dawlod nya karena bisa ngerusakin hp
Muslim firmansyah safei,"semakin hari semakin ga jelas ini montoon..loststeak sampe 8x ditroll,kadang² game leg dan mengakibatkan keluar game sendiri ketika masuk langsung AFK..payah ga bisa memilah milih",1,2025-10-08 09:41:12,2.1.18.11201,"semakin hari semakin ga jelas ini montoon..loststeak sampe 8x ditroll,kadang² game leg dan mengakibatkan keluar game sendiri ketika masuk langsung afk..payah ga bisa memilah milih"
Ainur Rahman,"selalu di kasih tim yang tolol"" sama admin . masa main 8x gw MVP tp defeat mulu . kasih tim yg mantep gw mind biar gak gendong bocil"" tolol .",1,2025-10-08 09:35:29,2.1.18.11201,"selalu di kasih tim yang tolol"" sama admin . masa main 8x gw mvp tp defeat mulu . kasih tim yg mantep gw mind biar gak gendong bocil"" tolol ."
Hakim Dongk,buat have fun aja,5,2025-10-08 09:32:42,2.1.18.11201,buat have fun aja
Oppo Pulokulon,gemnya remayan seru,3,2025-10-08 09:31:32,2.1.18.11201,gemnya remayan seru
early ryan,banyak dark sistem,1,2025-10-08 09:30:43,1.9.93.10904,banyak dark sistem
Visual Data,"woy ini setiap main leg mulu, sampe crash di dalam pertandingan. benerin lol",1,2025-10-08 09:30:07,2.1.18.11201,"woy ini setiap main leg mulu, sampe crash di dalam pertandingan. benerin lol"
Arjun Tandai,Game rusak setan,1,2025-10-08 09:29:38,2.1.18.11201,game rusak setan
Bandet Ae,game nya sangat seru tp tolong dong moonton draksistemnya di kurangin sya saat main selalu dpt tim TOLOL dan tb2 jaringan ngelek pdhl jaringanku gk ngelek mohon dibaca muntun kurangin tim yang TOLOL hehh...,2,2025-10-08 09:24:24,2.1.18.11201,game nya sangat seru tp tolong dong moonton draksistemnya di kurangin sya saat main selalu dpt tim tolol dan tb2 jaringan ngelek pdhl jaringanku gk ngelek mohon dibaca muntun kurangin tim yang tolol hehh...
Hasbi Bre,kalok bisa saya mau wins treak ya moonton,5,2025-10-08 09:21:14,,kalok bisa saya mau wins treak ya moonton
Dwi Uchi,game membingungkan tidak di sarankan di bawah umur !!!,1,2025-10-08 09:21:07,2.1.18.11201,game membingungkan tidak di sarankan di bawah umur !!!
Abimanyu,menghibur,5,2025-10-08 09:14:59,2.1.18.11201,menghibur
bulat Bulat,jngn main game ini la rusak. sinyal nya parah x,2,2025-10-08 09:14:16,2.1.20.11202,jngn main game ini la rusak. sinyal nya parah x
Andhika Reyvana,najiiiiiiiisssss kalah terus!!!!!!,1,2025-10-08 09:13:50,,najiiiiiiiisssss kalah terus!!!!!!
Angga Pradana,"busuk sekali ini game skin makin banyak kualitas game turun, yang bener aja dong pas ingame stuck gak bisa digerakkan sinyal hijau 37",1,2025-10-08 09:13:01,2.1.18.11201,"busuk sekali ini game skin makin banyak kualitas game turun, yang bener aja dong pas ingame stuck gak bisa digerakkan sinyal hijau 37"
luci morintoh,"Game gubluk dikasih tim lolot, Dev Kikir Cuma mikirin uang uang melulu, Collab melulu, Setidaknya kasih Team yang kayak bener mainya! malah dikasih player skill Warrior, sia sia main ranked tapi Team nya kek Asu, tolong dong montoon tingkatkan lagi sistem nya jgn notice Mulu uang player sistem g pernah diurus, dah gitu Player yang main Troll biasanya g kena hukum, HARUSNYA DI BAN SETIDAKNYA 20 TAHUN! 🤬",1,2025-10-08 09:12:29,2.1.18.11201,"game gubluk dikasih tim lolot, dev kikir cuma mikirin uang uang melulu, collab melulu, setidaknya kasih team yang kayak bener mainya! malah dikasih player skill warrior, sia sia main ranked tapi team nya kek asu, tolong dong montoon tingkatkan lagi sistem nya jgn notice mulu uang player sistem g pernah diurus, dah gitu player yang main troll biasanya g kena hukum, harusnya di ban setidaknya 20 tahun! 🤬"
Luxury Bath,we pontoon klo gua jago tuh timnya kasi jago juga donk,5,2025-10-08 09:11:33,2.1.18.11201,we pontoon klo gua jago tuh timnya kasi jago juga donk
Fredias Agutin,INI KENAPA LAGI MONTOON WOY...... SINYAL HIJAU PING 10-20 MS BISA2 NYA MENYAMBUNGKAN PERANGKAT MONTOON BABI UPDATE GAGAL PALAH DI RILIS TOLOL,1,2025-10-08 09:10:49,2.1.18.11201,ini kenapa lagi montoon woy...... sinyal hijau ping 10-20 ms bisa2 nya menyambungkan perangkat montoon babi update gagal palah di rilis tolol
Sheriha Risa,senang,5,2025-10-08 09:09:45,2.1.18.11201,senang
kayzen hayato,"oke teruntuk moonton, tolong banget ya beri player solo di rank kasih aja musuh sama sama solo, bukan malah solo ketemu musuh duo apalagi trio juga, itu benar benar menyusahkan untuk player solo, tolong banget ya sistem nya diperbarui lagi, terimakasih.",3,2025-10-08 09:07:11,,"oke teruntuk moonton, tolong banget ya beri player solo di rank kasih aja musuh sama sama solo, bukan malah solo ketemu musuh duo apalagi trio juga, itu benar benar menyusahkan untuk player solo, tolong banget ya sistem nya diperbarui lagi, terimakasih."
Irwan ar,"oyy monton buat game yang jelsas dikit napa. kebiasan, sinyal gw bagus' aja tapi kadang tiba' pin gw 295 gabisa gerak monton, plislah monton defeat itu menyakitkan, itu kejadiannya sering loh. klw dibandingkan sama game HOK atau ff ga ada yang kaya gitu lancar' aja tuh gw main giliran main ml malah ga bisah gerak kocak makanya gw yakin itu gamenya yang bermasalah bukan sinyal gw ingat ya monton itu terjadi bukan sekali tapi SERINGGG!!!! ⚠",1,2025-10-08 09:04:46,1.9.99.10932,"oyy monton buat game yang jelsas dikit napa. kebiasan, sinyal gw bagus' aja tapi kadang tiba' pin gw 295 gabisa gerak monton, plislah monton defeat itu menyakitkan, itu kejadiannya sering loh. klw dibandingkan sama game hok atau ff ga ada yang kaya gitu lancar' aja tuh gw main giliran main ml malah ga bisah gerak kocak makanya gw yakin itu gamenya yang bermasalah bukan sinyal gw ingat ya monton itu terjadi bukan sekali tapi seringgg!!!! ⚠"
Angga Dwi Saputra,ini gk ada event lg apa. bosen main rank trs. dibuat sering lg lah event game lainnya,1,2025-10-08 09:04:40,2.1.18.11201,ini gk ada event lg apa. bosen main rank trs. dibuat sering lg lah event game lainnya
Ziro Leonardo,game yang bikin otak saya yang awal nya normal jadi strees,5,2025-10-08 09:04:29,,game yang bikin otak saya yang awal nya normal jadi strees
dede apriyana,sangat kerennnnnnnnnnnnnnn,5,2025-10-08 09:03:37,2.1.18.11201,sangat kerennnnnnnnnnnnnnn
Mario Riski,"jangan main game ini game ini curang, musuhnya player timnya komputer",1,2025-10-08 09:02:14,2.1.18.11201,"jangan main game ini game ini curang, musuhnya player timnya komputer"
Khulafa Sulbi,game yang bagus,5,2025-10-08 08:59:30,2.1.18.11201,game yang bagus
Sudarto Darto,Enak dimain,5,2025-10-08 08:53:20,2.1.18.11201,enak dimain
Muhammad Alam,game rusak,1,2025-10-08 08:50:15,2.1.18.11201,game rusak
Widam L,"selalu dapat tim beban, sengaja troll, dark system tiap solo rank. susah naik rank kalau kayak gini mulu tiap match tahay lah moonton",3,2025-10-08 08:48:49,,"selalu dapat tim beban, sengaja troll, dark system tiap solo rank. susah naik rank kalau kayak gini mulu tiap match tahay lah moonton"
ZULFAN,"ML mau bangkrut?, kok hero baru di paksa beli pakai diamond",1,2025-10-08 08:48:49,2.1.18.11201,"ml mau bangkrut?, kok hero baru di paksa beli pakai diamond"
Noel Herbert Septian Hutapea,"BUAT BRAWL 6 SLOT, AKU JUGA MAIN",1,2025-10-08 08:47:33,2.1.18.11201,"buat brawl 6 slot, aku juga main"
Salman Aljafari,seru pokok nya,5,2025-10-08 08:44:02,2.1.18.11201,seru pokok nya
Aril Kopior,pejuang solo gua ANJ!!!!!!!!!!!,1,2025-10-08 08:40:28,1.9.99.10932,pejuang solo gua anj!!!!!!!!!!!
Muhammad Rizki,stiap lagi war ngestak pdhl jaringan mh aman tolong segera di perbaiki montoon,1,2025-10-08 08:33:19,2.1.18.11201,stiap lagi war ngestak pdhl jaringan mh aman tolong segera di perbaiki montoon
KHOLILLU ROHMAN,"dari season awal aku main baru kali ini gua ngomong kalo monton itu jaringan paling parah, gua sndiri tipikal g pernah komplen.. emng kalo tim mau dpt kalah pasti ada aja jaringan lag.. tim ku semua lag parah musuh pasti gg parah keterlaluan monton jgn donlod game ini udah burik",1,2025-10-08 08:27:00,2.1.18.11201,"dari season awal aku main baru kali ini gua ngomong kalo monton itu jaringan paling parah, gua sndiri tipikal g pernah komplen.. emng kalo tim mau dpt kalah pasti ada aja jaringan lag.. tim ku semua lag parah musuh pasti gg parah keterlaluan monton jgn donlod game ini udah burik"
As Reggawan,selalu lag dan tibaba mati perbaiki dong,1,2025-10-08 08:26:13,2.1.18.11201,selalu lag dan tibaba mati perbaiki dong
Faisal maulana,masa jaringan full dan baik malah lag sendiri seperti ada yg error. jadi tolong di perbaiki,2,2025-10-08 08:23:59,,masa jaringan full dan baik malah lag sendiri seperti ada yg error. jadi tolong di perbaiki
Tiar他,banyak banyak istighfar,2,2025-10-08 08:23:47,1.8.58.9312,banyak banyak istighfar
aa Molet,game haram naik turun naik turun kayak asu dapet tim kayak komputer mulu,1,2025-10-08 08:22:06,,game haram naik turun naik turun kayak asu dapet tim kayak komputer mulu
GENJI Pratama,Game nya bagus😍,5,2025-10-08 08:20:38,1.9.33.10117,game nya bagus😍
Muhamad Ersan,APALAH INI TEMAN SELALU DARK SISTEM DAN JARINGAN SELALU NGELAG PADAHAL PAS BUKA YOUTUBE BAGUS BAGUS AJA SETIAP MAIN TEMAN DARK SISTEM LAH ITULAH INILAH AHKKKK MOONTON YANG BENERLAH KASIH GW TIM YANG GG DAN PRO PLAYER GW RATING GAME INI SATU BINTANG KARENA MUSUH GG SEDANGKAN TIM GW BOT APALAH POKOKNYA KASIH GW TIM YANG BISA MAEN PENJOKI KEK PROPLAYER KEK TOP GLOBAL KEK!!!!!!!,1,2025-10-08 08:17:27,2.1.18.11201,apalah ini teman selalu dark sistem dan jaringan selalu ngelag padahal pas buka youtube bagus bagus aja setiap main teman dark sistem lah itulah inilah ahkkkk moonton yang benerlah kasih gw tim yang gg dan pro player gw rating game ini satu bintang karena musuh gg sedangkan tim gw bot apalah pokoknya kasih gw tim yang bisa maen penjoki kek proplayer kek top global kek!!!!!!!
Daffa Hafiz,sangat bagus hd nya cakep dan heronya bagus terutama obsidia,5,2025-10-08 08:12:43,2.1.18.11201,sangat bagus hd nya cakep dan heronya bagus terutama obsidia
Reza Kurniadi,seruu,5,2025-10-08 08:08:50,2.1.18.11201,seruu
Muhammad Hadikusuma,"gamenya sih keren & bagus tpi ada sedikit kekurangan yaitu ngelag + jaringannya padahal udah stabil,kami harap moonton menanggapi ulasan ini dan untuk memperbaiki gamenya 🙏",5,2025-10-08 08:05:39,,"gamenya sih keren & bagus tpi ada sedikit kekurangan yaitu ngelag + jaringannya padahal udah stabil,kami harap moonton menanggapi ulasan ini dan untuk memperbaiki gamenya 🙏"
Apriyanto Apriyanto,"update sekarang sering freeze AL hasil jadi lose streak, padahal sebelum update lancar , sangat mengecewakan!!!!",1,2025-10-08 08:04:43,,"update sekarang sering freeze al hasil jadi lose streak, padahal sebelum update lancar , sangat mengecewakan!!!!"
Rizky Kurniawan,gamenya cukup seru tapi semakin lama makin berat jadi hpku yang bukan hp gaming gampang panas,4,2025-10-08 08:03:54,2.1.18.11201,gamenya cukup seru tapi semakin lama makin berat jadi hpku yang bukan hp gaming gampang panas
Gembix,musuhnya susah,1,2025-10-08 08:03:01,,musuhnya susah
FLASHGYD99,atas nama teman saya yaitu Samuel Prabowo mengatakan bahwa jika menggunakan nama samaran dianggap melanggar peraturan di pasal undang-undang,1,2025-10-08 08:00:15,,atas nama teman saya yaitu samuel prabowo mengatakan bahwa jika menggunakan nama samaran dianggap melanggar peraturan di pasal undang-undang
Febri Cell,ngerank dapet tim bocil terus,1,2025-10-08 07:59:58,2.1.18.11201,ngerank dapet tim bocil terus
Angga Wijaya,"fikss, percaya gw, kebanyakan player Mobile Legends Bang Bang pasti banyak ngalamin yang namanya bug skill, sinyal slalu hilang tiba tiba pas di ingame, gw rating b5 tujuannya supaya di baca sama pihak Moonton, bukan sekali dua kali player ML ngalamin kyk begini, bikin performa main jadi turun, dan juga bukan cuma itu, kebanyakan player ML banyak yg pensi hanya karna masalah bgni, contoh nya temen saya, tolong dong developer, perbaiki lagi game nya.... saya dari 1jt lebih player ML, mewakili",5,2025-10-08 07:59:40,2.1.18.11201,"fikss, percaya gw, kebanyakan player mobile legends bang bang pasti banyak ngalamin yang namanya bug skill, sinyal slalu hilang tiba tiba pas di ingame, gw rating b5 tujuannya supaya di baca sama pihak moonton, bukan sekali dua kali player ml ngalamin kyk begini, bikin performa main jadi turun, dan juga bukan cuma itu, kebanyakan player ml banyak yg pensi hanya karna masalah bgni, contoh nya temen saya, tolong dong developer, perbaiki lagi game nya.... saya dari 1jt lebih player ml, mewakili"
aisyah new,sangat memuaskan GK tolong dark sistem di kurangin,5,2025-10-08 07:59:31,1.9.68.10631,sangat memuaskan gk tolong dark sistem di kurangin
Jeo Nando,Gem nya bagus ku reting bintang 5,5,2025-10-08 07:50:51,19.2.11.103,gem nya bagus ku reting bintang 5
Dedi Iskandar,game nya jelek banyak yg ewean harus di hapus game kaya gini,1,2025-10-08 07:50:28,2.1.18.11201,game nya jelek banyak yg ewean harus di hapus game kaya gini
Putra Alfatih,"saya punya kendala, yaitu saat asik bermain, tiba² sinyal hilang dan menampilkan teks ""menghubungkan kembali ke pertandingan"" seperti pada umumnya, tapi padahal kuota saya masih aktif dan ping masih hijau (sekitar 25-40ms) entah knp mlbb saat ini makin berat di hp kentang dan sinyal makin kacau. semoga lain waktu bisa lebih baik lagi💪",3,2025-10-08 07:47:14,1.9.99.10932,"saya punya kendala, yaitu saat asik bermain, tiba² sinyal hilang dan menampilkan teks ""menghubungkan kembali ke pertandingan"" seperti pada umumnya, tapi padahal kuota saya masih aktif dan ping masih hijau (sekitar 25-40ms) entah knp mlbb saat ini makin berat di hp kentang dan sinyal makin kacau. semoga lain waktu bisa lebih baik lagi💪"
Komang Sujana,gw main ini game buat represing (menghilangkan stres ) malah nambah. stres apalah ini game kasih lost treak Mulu gw monton emang kon,1,2025-10-08 07:43:22,2.1.18.11201,gw main ini game buat represing (menghilangkan stres ) malah nambah. stres apalah ini game kasih lost treak mulu gw monton emang kon
Rizki Ox's,game tolol ga jelas,1,2025-10-08 07:39:37,2.1.18.11201,game tolol ga jelas
Zaza Freya,"woi monton sinyal bbenerin woi, dari kematen setelah update skin kolektor,di in game sinyal mendadak hilang dan lping di atas 200 ,, begini mulu, lama banyak yang uninstal mlbb nya, gara2 sinyal hilang jadi lostreak njing",1,2025-10-08 07:37:23,,"woi monton sinyal bbenerin woi, dari kematen setelah update skin kolektor,di in game sinyal mendadak hilang dan lping di atas 200 ,, begini mulu, lama banyak yang uninstal mlbb nya, gara2 sinyal hilang jadi lostreak njing"
Romelah Rofki,"ini game emng kek t41 si bukanya bikin seneng,malah bikin stres",1,2025-10-08 07:35:12,,"ini game emng kek t41 si bukanya bikin seneng,malah bikin stres"
Nikky Valentino,Bagu gw yang,5,2025-10-08 07:30:18,2.1.18.11201,bagu gw yang
Routed et,gem nya keren banget,5,2025-10-08 07:27:43,2.1.18.11201,gem nya keren banget
Om Aden,"tolong jangan kasih gw tim darksistem semua anj,,,gw pen mythic glory cok moonton liatt komennnn gw",5,2025-10-08 07:27:07,2.1.18.11201,"tolong jangan kasih gw tim darksistem semua anj,,,gw pen mythic glory cok moonton liatt komennnn gw"
Bily Yusufi,eh moonton apa apaan tiap awal match ngeleg ngeleg pas mid game baru ga ngeleg ya gimana ga kalah kalo awal match nya udah di dominasi duluan ama musuh,2,2025-10-08 07:24:48,2.1.18.11201,eh moonton apa apaan tiap awal match ngeleg ngeleg pas mid game baru ga ngeleg ya gimana ga kalah kalo awal match nya udah di dominasi duluan ama musuh
Yogo Saputro,malah makin parah lag nya,1,2025-10-08 07:21:10,2.1.18.11201,malah makin parah lag nya
Dirga Dirga,nggak jelas dikasih dark sistem mulu,1,2025-10-08 07:20:39,2.1.18.11201,nggak jelas dikasih dark sistem mulu
Anwar rifai,minimal kalo nyepin gak pernah hoki ya kasih win strikk lah monton . ngasih tim kaya komputer semua anj,4,2025-10-08 07:17:36,2.1.18.11201,minimal kalo nyepin gak pernah hoki ya kasih win strikk lah monton . ngasih tim kaya komputer semua anj
Ines Do carmo soares afonso,game nya bagus sekali,5,2025-10-08 07:17:01,,game nya bagus sekali
Akthar Bilqis Humaira Rabi,bagi skin dong moonton🙏😂,5,2025-10-08 07:11:15,2.1.18.11201,bagi skin dong moonton🙏😂
Alfin Prasetya,"moonton asuuu di kasih lag terus padahal udh pakek wifi+paket dataa, tolol babii game haramm",1,2025-10-08 07:09:30,2.1.18.11201,"moonton asuuu di kasih lag terus padahal udh pakek wifi+paket dataa, tolol babii game haramm"
Deden Suryana,bisa gak sihh jaringan gede tapi leg tolollll,1,2025-10-08 07:08:44,2.1.18.11201,bisa gak sihh jaringan gede tapi leg tolollll
WHYU TXSAS,game nya tolol sekali co,3,2025-10-08 07:03:43,,game nya tolol sekali co
Aggie Fajar,"kalau match making yang benar milih nya lawan nya 5 team sendiri 4 ga seimbang bukan 5vs 5 rank, Yang AFk.jangan beban di ranked benahi match making 5vs 5 sepadan mau menang mau kalah urusan nanti rank saya turun ketemu player dark sistem 4 vs 5 lalu 3 vs 5 , player dark sistem dimainkan montoon, bukan ga bisa main , kalau kalah fear 5 vs 5 gapapa ini tidak classic ketemu player dark sistem 4 vs 5 di rank sama,",5,2025-10-08 07:03:06,2.1.18.11201,"kalau match making yang benar milih nya lawan nya 5 team sendiri 4 ga seimbang bukan 5vs 5 rank, yang afk.jangan beban di ranked benahi match making 5vs 5 sepadan mau menang mau kalah urusan nanti rank saya turun ketemu player dark sistem 4 vs 5 lalu 3 vs 5 , player dark sistem dimainkan montoon, bukan ga bisa main , kalau kalah fear 5 vs 5 gapapa ini tidak classic ketemu player dark sistem 4 vs 5 di rank sama,"
Angkasa Tripangga,sampah,1,2025-10-08 07:03:01,,sampah
DuDa Berkelas,redy,5,2025-10-08 07:00:03,2.1.18.11201,redy
Restukasep Hamuddd,saya kasih bintang 5 bukan karna bagus tapi jelek soalnya ml makin sekarang makin ngebug masa di loby jadi warna ungu dan waktu draf pick suka ngelag di tambah kalo jaringan bagus juga suka ngelag mulu,5,2025-10-08 06:59:19,2.1.18.11201,saya kasih bintang 5 bukan karna bagus tapi jelek soalnya ml makin sekarang makin ngebug masa di loby jadi warna ungu dan waktu draf pick suka ngelag di tambah kalo jaringan bagus juga suka ngelag mulu
Priyo Sakti,gk bisa dipencet menghubungkan akun ke wanya,1,2025-10-08 06:57:22,2.1.18.11201,gk bisa dipencet menghubungkan akun ke wanya
Ardo Duka,kalau game ini bisa offline aku kasih bintang lima karna aku biasanya pakai hotspot tetangga terus kalau ngelek aku marah pukul hp jadi gitu lah,1,2025-10-08 06:50:31,2.1.18.11201,kalau game ini bisa offline aku kasih bintang lima karna aku biasanya pakai hotspot tetangga terus kalau ngelek aku marah pukul hp jadi gitu lah
Emil Mafazi,Terlalu banyak pemain yang pakai jasa joki jadi banyak yang menjadi beban solo ranked dan ripot tidak pernah berhasil walaupun skornya 0 11 1 dark system nya udah kacau,1,2025-10-08 06:49:01,2.1.18.11201,terlalu banyak pemain yang pakai jasa joki jadi banyak yang menjadi beban solo ranked dan ripot tidak pernah berhasil walaupun skornya 0 11 1 dark system nya udah kacau
Taufik Taufik,Montoon babi kasih tim yang benar,1,2025-10-08 06:48:56,2.1.18.11201,montoon babi kasih tim yang benar
Odie Ublag,dark sistem mlu..gmn x. bikin mles maen nya aja hpus juga ni ganti game,2,2025-10-08 06:46:22,1.4.87.5292,dark sistem mlu..gmn x. bikin mles maen nya aja hpus juga ni ganti game
Yoni Baskoro,parah bener ini...selalu leg saat main...pdahal bgus sinyal... kebanyakan bug nie... tolong perbaiki dong dan perhatikan,1,2025-10-08 06:46:13,2.1.18.11201,parah bener ini...selalu leg saat main...pdahal bgus sinyal... kebanyakan bug nie... tolong perbaiki dong dan perhatikan
Ruslan,saya kombeck,5,2025-10-08 06:43:48,,saya kombeck
Raffi Setiyono,"kenapaa ini sinyalnyaa ,, sinyal bagus lag mulu ahh,, benerin napa",5,2025-10-08 06:38:56,2.1.18.11201,"kenapaa ini sinyalnyaa ,, sinyal bagus lag mulu ahh,, benerin napa"
ASPEK HUKUK NEGARA ADALAH,Tolong kurangin MB mlbb,5,2025-10-08 06:36:41,,tolong kurangin mb mlbb
Irpan RM,"oii moonton awas aja kalo misalkan magic core di reset setiap 3 bulan gua sumpahin lu , lagian lu pasti blunder ml pasti makin sepi nanti gara"" hal ini",2,2025-10-08 06:36:39,1.9.70.10634,"oii moonton awas aja kalo misalkan magic core di reset setiap 3 bulan gua sumpahin lu , lagian lu pasti blunder ml pasti makin sepi nanti gara"" hal ini"
Agung Putra ramadhan,Akun saya kenapa ya ? udah di kaitin ke suatu dari salah satu opsi tapi pas login ke game nya akun nya tiba² ilang dan ga ada di bind nya,1,2025-10-08 06:35:52,1.9.42.10341,akun saya kenapa ya ? udah di kaitin ke suatu dari salah satu opsi tapi pas login ke game nya akun nya tiba² ilang dan ga ada di bind nya
Ahmad fir Firdaus,sekarang kok mudah sih ngelek loding lama padahal udah pakai wifi tapi kok gak masuk terus kalau udah masuk malah di kasih afk mohon bantuannya ya pak moonton 🙏,4,2025-10-08 06:30:17,2.1.18.11201,sekarang kok mudah sih ngelek loding lama padahal udah pakai wifi tapi kok gak masuk terus kalau udah masuk malah di kasih afk mohon bantuannya ya pak moonton 🙏
Berti,bgus,5,2025-10-08 06:26:23,2.1.18.11201,bgus
Susana Susanti,karna game ini harus mermerlukan jaringan luar biasa,1,2025-10-08 06:22:15,,karna game ini harus mermerlukan jaringan luar biasa
Darma Aji,game nya bagus tapi kadang² ada permasalahan di jaringan tapi itu tidak apa² dan game ini seru bisa membuat kesal tapi bisa membuat senang juga😁,5,2025-10-08 06:21:28,1.9.99.10932,game nya bagus tapi kadang² ada permasalahan di jaringan tapi itu tidak apa² dan game ini seru bisa membuat kesal tapi bisa membuat senang juga😁
Alfarrzhiee,"Sistem matchmakingnya ngawur. High Rank Mythical Glory tinggi ketemu satu tim sama High Rank Legend, Mythic, dan Mythical Honor bintang 30. Maen solo Rank, ketemu nya trio. Tolong perhatikan lagi Moonton, padahal udah bagus gamenya.",2,2025-10-08 06:10:09,2.1.18.11201,"sistem matchmakingnya ngawur. high rank mythical glory tinggi ketemu satu tim sama high rank legend, mythic, dan mythical honor bintang 30. maen solo rank, ketemu nya trio. tolong perhatikan lagi moonton, padahal udah bagus gamenya."
Vincent Karl,skin nya bagus,5,2025-10-08 06:08:01,2.1.18.11201,skin nya bagus
Miftah Dares,anjg,1,2025-10-08 06:07:54,2.1.18.11201,anjg
Fauzan Adima,simpel aja sering dapat tim gc jelas spell retri Mala ngpus minion kecewa banget,1,2025-10-08 06:05:38,2.1.20.11202,simpel aja sering dapat tim gc jelas spell retri mala ngpus minion kecewa banget
Keynu Deska,"game bagus sekali pertahanan menara,tanpa koneksi jaringan pokoknya bagus deh",5,2025-10-08 06:04:58,2.1.18.11201,"game bagus sekali pertahanan menara,tanpa koneksi jaringan pokoknya bagus deh"
Asni Aprizal,game rusak,1,2025-10-08 06:04:46,2.1.18.11201,game rusak
Risna Juliani,tidak di sarankan untuk bermain solo di game ini..! sistem matchnya sangat buruk untuk player solo.,2,2025-10-08 05:56:57,2.1.18.11201,tidak di sarankan untuk bermain solo di game ini..! sistem matchnya sangat buruk untuk player solo.
