userName,content,appVersion,content_clean,tokenized,filtered_tokens,stopwords_removed,stemmed_tokens,slang_replaced,label,self_trained_label
jq7l1wypu,Game rusak,2.1.18.11201,game rusak,"['game', 'rusak']","['game', 'rusak']",['rusak'],"['game', 'rusak']","['game', 'rusak']",,negative
Briyan Ramadhani,"update kali ini busuk,mau main harus nunggu delay dulu",1.9.42.10341,"update kali ini busuk,mau main harus nunggu delay dulu","['update', 'kali', 'ini', 'busuk', ',', 'mau', 'main', 'harus', 'nunggu', 'delay', 'dulu']","['update', 'kali', 'ini', 'busuk', 'mau', 'main', 'harus', 'nunggu', 'delay', 'dulu']","['update', 'busuk', 'nunggu', 'delay']","['update', 'kali', 'ini', 'busuk', 'mau', 'main', 'harus', 'nunggu', 'delay', 'dulu']","['update', 'kali', 'ini', 'busuk', 'mau', 'main', 'harus', 'nunggu', 'delay', 'dulu']",,negative
timbul wati,GAME SAMPAH. KALAH TERUS,2.1.18.11201,game sampah. kalah terus,"['game', 'sampah', '.', 'kalah', 'terus']","['game', 'sampah', 'kalah', 'terus']","['sampah', 'kalah']","['game', 'sampah', 'kalah', 'terus']","['game', 'sampah', 'kalah', 'terus']",,negative
Ibrahim Lukman,game kikir kalah sama HOK,2.1.18.11201,game kikir kalah sama hok,"['game', 'kikir', 'kalah', 'sama', 'hok']","['game', 'kikir', 'kalah', 'sama', 'hok']","['kikir', 'kalah']","['game', 'kikir', 'kalah', 'sama', 'hok']","['game', 'kikir', 'kalah', 'sama', 'hok']",,negative
Adithya Sukma,"kalo kasih tim yg bener anj, masa gw solo ketemu tim trio random yg tolol, trus lawan nya partyaan berlima",2.1.18.11201,"kalo kasih tim yg bener anj, masa gw solo ketemu tim trio random yg tolol, trus lawan nya partyaan berlima","['kalo', 'kasih', 'tim', 'yg', 'bener', 'anj', ',', 'masa', 'gw', 'solo', 'ketemu', 'tim', 'trio', 'random', 'yg', 'tolol', ',', 'trus', 'lawan', 'nya', 'partyaan', 'berlima']","['kalo', 'kasih', 'tim', 'yg', 'bener', 'anj', 'masa', 'gw', 'solo', 'ketemu', 'tim', 'trio', 'random', 'yg', 'tolol', 'trus', 'lawan', 'nya', 'partyaan', 'berlima']","['benar', 'anj', 'masa', 'ketemu', 'trio', 'random', 'tolol', 'lawan', 'partyaan', 'lima']","['kalo', 'kasih', 'tim', 'yg', 'bener', 'anj', 'masa', 'gw', 'solo', 'ketemu', 'tim', 'trio', 'random', 'yg', 'tolol', 'trus', 'lawan', 'nya', 'partyaan', 'lima']","['kalau', 'kasih', 'team', 'yang', 'benar', 'anj', 'masa', 'aku', 'solo', 'ketemu', 'team', 'trio', 'random', 'yang', 'tolol', 'terus', 'lawan', 'nya', 'partyaan', 'lima']",,negative
Bagas Samudra,"jangan dowload ml kalau ga mau ketemu beban, moonton anjgggggggggg kaasih gw tim yang beban mulu, gw cape bangsatttttt",2.1.18.11201,"jangan dowload ml kalau ga mau ketemu beban, moonton anjgggggggggg kaasih gw tim yang beban mulu, gw cape bangsatttttt","['jangan', 'dowload', 'ml', 'kalau', 'ga', 'mau', 'ketemu', 'beban', ',', 'moonton', 'anjgggggggggg', 'kaasih', 'gw', 'tim', 'yang', 'beban', 'mulu', ',', 'gw', 'cape', 'bangsatttttt']","['jangan', 'dowload', 'ml', 'kalau', 'ga', 'mau', 'ketemu', 'beban', 'moonton', 'anjg', 'kaasih', 'gw', 'tim', 'yang', 'beban', 'mulu', 'gw', 'cape', 'bangsat']","['jangan', 'dowload', 'ketemu', 'beban', 'anjg', 'kaasih', 'beban', 'cape', 'bangsat']","['jangan', 'dowload', 'ml', 'kalau', 'ga', 'mau', 'ketemu', 'beban', 'moonton', 'anjg', 'kaasih', 'gw', 'tim', 'yang', 'beban', 'mulu', 'gw', 'cape', 'bangsat']","['jangan', 'dowload', 'ml', 'kalau', 'tidak', 'mau', 'ketemu', 'beban', 'moonton', 'anjg', 'kaasih', 'aku', 'team', 'yang', 'beban', 'mulu', 'aku', 'cape', 'bangsat']",,negative
Agil Pandu,udah main 30menit+ terus kalah gak dapet bintang gak dapet perlindungan mmr nya turun padahal mainnya dah bagus game asu asu gak kayak hok ml gak asu burik,2.1.18.11201,udah main 30menit+ terus kalah gak dapet bintang gak dapet perlindungan mmr nya turun padahal mainnya dah bagus game asu asu gak kayak hok ml gak asu burik,"['udah', 'main', '30menit+', 'terus', 'kalah', 'gak', 'dapet', 'bintang', 'gak', 'dapet', 'perlindungan', 'mmr', 'nya', 'turun', 'padahal', 'mainnya', 'dah', 'bagus', 'game', 'asu', 'asu', 'gak', 'kayak', 'hok', 'ml', 'gak', 'asu', 'burik']","['udah', 'main', 'menit', 'terus', 'kalah', 'gak', 'dapet', 'bintang', 'gak', 'dapet', 'perlindungan', 'mmr', 'nya', 'turun', 'padahal', 'mainnya', 'dah', 'bagus', 'game', 'asu', 'asu', 'gak', 'kayak', 'hok', 'ml', 'gak', 'asu', 'burik']","['menit', 'kalah', 'bintang', 'lindung', 'mmr', 'turun', 'sudah', 'bagus', 'asu', 'asu', 'asu', 'buruk']","['udah', 'main', 'menit', 'terus', 'kalah', 'gak', 'dapet', 'bintang', 'gak', 'dapet', 'lindung', 'mmr', 'nya', 'turun', 'padahal', 'main', 'dah', 'bagus', 'game', 'asu', 'asu', 'gak', 'kayak', 'hok', 'ml', 'gak', 'asu', 'burik']","['udah', 'main', 'menit', 'terus', 'kalah', 'tidak', 'dapet', 'bintang', 'tidak', 'dapet', 'lindung', 'mmr', 'nya', 'turun', 'padahal', 'main', 'sudah', 'bagus', 'game', 'asu', 'asu', 'tidak', 'seperti', 'hok', 'ml', 'tidak', 'asu', 'buruk']",,negative
David Jovian,Cuma ngehabisin paketan Yang di dapet malah semua tim afk gausah di download,2.1.18.11201,cuma ngehabisin paketan yang di dapet malah semua tim afk gausah di download,"['cuma', 'ngehabisin', 'paketan', 'yang', 'di', 'dapet', 'malah', 'semua', 'tim', 'afk', 'gausah', 'di', 'download']","['cuma', 'ngehabisin', 'paketan', 'yang', 'di', 'dapet', 'malah', 'semua', 'tim', 'afk', 'gausah', 'di', 'download']","['cuma', 'ngehabisin', 'paket', 'semua', 'afk', 'gausah']","['cuma', 'ngehabisin', 'paket', 'yang', 'di', 'dapet', 'malah', 'semua', 'tim', 'afk', 'gausah', 'di', 'download']","['cuma', 'ngehabisin', 'paket', 'yang', 'di', 'dapet', 'malah', 'semua', 'team', 'afk', 'gausah', 'di', 'download']",,negative
deden _k,goreng patut ngeleg wae,2.1.18.11201,goreng patut ngeleg wae,"['goreng', 'patut', 'ngeleg', 'wae']","['goreng', 'patut', 'ngeleg', 'wae']","['goreng', 'patut', 'lag', 'wae']","['goreng', 'patut', 'ngeleg', 'wae']","['goreng', 'patut', 'lag', 'wae']",,negative
Muhamad Ridwan,"game terburuk yg pernah saya mainkan , ngeleg, gabisa gerak , tolong di perbaiki , jika tidak di perbaiki , mending di hapus saja gane rusak ini",2.1.18.11201,"game terburuk yg pernah saya mainkan , ngeleg, gabisa gerak , tolong di perbaiki , jika tidak di perbaiki , mending di hapus saja gane rusak ini","['game', 'terburuk', 'yg', 'pernah', 'saya', 'mainkan', ',', 'ngeleg', ',', 'gabisa', 'gerak', ',', 'tolong', 'di', 'perbaiki', ',', 'jika', 'tidak', 'di', 'perbaiki', ',', 'mending', 'di', 'hapus', 'saja', 'gane', 'rusak', 'ini']","['game', 'terburuk', 'yg', 'pernah', 'saya', 'mainkan', 'ngeleg', 'gabisa', 'gerak', 'tolong', 'di', 'perbaiki', 'jika', 'tidak', 'di', 'perbaiki', 'mending', 'di', 'hapus', 'saja', 'gane', 'rusak', 'ini']","['buruk', 'pernah', 'lag', 'gabisa', 'gerak', 'tolong', 'baik', 'jika', 'baik', 'mending', 'hapus', 'gane', 'rusak']","['game', 'buruk', 'yg', 'pernah', 'saya', 'main', 'ngeleg', 'gabisa', 'gerak', 'tolong', 'di', 'baik', 'jika', 'tidak', 'di', 'baik', 'mending', 'di', 'hapus', 'saja', 'gane', 'rusak', 'ini']","['game', 'buruk', 'yang', 'pernah', 'aku', 'main', 'lag', 'gabisa', 'gerak', 'tolong', 'di', 'baik', 'jika', 'tidak', 'di', 'baik', 'mending', 'di', 'hapus', 'saja', 'gane', 'rusak', 'ini']",,negative
Muhammad Irsan,"banyak team gak jelas, mending pakai sistem poin, yang bintang coklat poinnya berkurang paling banyak, yang MVP point tidak berkurang, seharian main masa banyak kalahnya dari pada menangnya, tinggal nunggu waktu aja kalau ada game baru gak bakalan ML laku",2.1.18.11201,"banyak team gak jelas, mending pakai sistem poin, yang bintang coklat poinnya berkurang paling banyak, yang mvp point tidak berkurang, seharian main masa banyak kalahnya dari pada menangnya, tinggal nunggu waktu aja kalau ada game baru gak bakalan ml laku","['banyak', 'team', 'gak', 'jelas', ',', 'mending', 'pakai', 'sistem', 'poin', ',', 'yang', 'bintang', 'coklat', 'poinnya', 'berkurang', 'paling', 'banyak', ',', 'yang', 'mvp', 'point', 'tidak', 'berkurang', ',', 'seharian', 'main', 'masa', 'banyak', 'kalahnya', 'dari', 'pada', 'menangnya', ',', 'tinggal', 'nunggu', 'waktu', 'aja', 'kalau', 'ada', 'game', 'baru', 'gak', 'bakalan', 'ml', 'laku']","['banyak', 'team', 'gak', 'jelas', 'mending', 'pakai', 'sistem', 'poin', 'yang', 'bintang', 'coklat', 'poinnya', 'berkurang', 'paling', 'banyak', 'yang', 'mvp', 'point', 'tidak', 'berkurang', 'seharian', 'main', 'masa', 'banyak', 'kalahnya', 'dari', 'pada', 'menangnya', 'tinggal', 'nunggu', 'waktu', 'aja', 'kalau', 'ada', 'game', 'baru', 'gak', 'bakalan', 'ml', 'laku']","['banyak', 'jelas', 'mending', 'poin', 'bintang', 'coklat', 'poin', 'kurang', 'paling', 'banyak', 'mvp', 'point', 'kurang', 'masa', 'banyak', 'kalah', 'menang', 'tinggal', 'nunggu', 'baru', 'laku']","['banyak', 'team', 'gak', 'jelas', 'mending', 'pakai', 'sistem', 'poin', 'yang', 'bintang', 'coklat', 'poin', 'kurang', 'paling', 'banyak', 'yang', 'mvp', 'point', 'tidak', 'kurang', 'hari', 'main', 'masa', 'banyak', 'kalah', 'dari', 'pada', 'menang', 'tinggal', 'nunggu', 'waktu', 'aja', 'kalau', 'ada', 'game', 'baru', 'gak', 'bakal', 'ml', 'laku']","['banyak', 'team', 'tidak', 'jelas', 'mending', 'pakai', 'sistem', 'poin', 'yang', 'bintang', 'coklat', 'poin', 'kurang', 'paling', 'banyak', 'yang', 'mvp', 'point', 'tidak', 'kurang', 'hari', 'main', 'masa', 'banyak', 'kalah', 'dari', 'pada', 'menang', 'tinggal', 'nunggu', 'waktu', 'aja', 'kalau', 'ada', 'game', 'baru', 'tidak', 'bakal', 'ml', 'laku']",,negative
alif hudha,game kikir,1.9.93.10904,game kikir,"['game', 'kikir']","['game', 'kikir']",['kikir'],"['game', 'kikir']","['game', 'kikir']",,negative
Main Game,"min tolong punya ku gk bisa masuk lobby padahal sinyal ok tiba-tiba gm nya bilang gini:""mohon maaf gagal menyambungkan periksa jangan"" padahal jaringan ku baguss min tolong di baless min🙏🙏",,"min tolong punya ku gk bisa masuk lobby padahal sinyal ok tiba-tiba gm nya bilang gini:""mohon maaf gagal menyambungkan periksa jangan"" padahal jaringan ku baguss min tolong di baless min🙏🙏","['min', 'tolong', 'punya', 'ku', 'gk', 'bisa', 'masuk', 'lobby', 'padahal', 'sinyal', 'ok', 'tiba-tiba', 'gm', 'nya', 'bilang', 'gini', ':', ""''"", 'mohon', 'maaf', 'gagal', 'menyambungkan', 'periksa', 'jangan', ""''"", 'padahal', 'jaringan', 'ku', 'baguss', 'min', 'tolong', 'di', 'baless', 'min🙏🙏']","['min', 'tolong', 'punya', 'ku', 'gk', 'bisa', 'masuk', 'lobby', 'padahal', 'sinyal', 'ok', 'tibatiba', 'gm', 'nya', 'bilang', 'gini', 'mohon', 'maaf', 'gagal', 'menyambungkan', 'periksa', 'jangan', 'padahal', 'jaringan', 'ku', 'baguss', 'min', 'tolong', 'di', 'baless', 'min']","['minimal', 'tolong', 'punya', 'masuk', 'lobby', 'sinyal', 'oke', 'tibatiba', 'gm', 'bilang', 'mohon', 'maaf', 'gagal', 'sambung', 'periksa', 'jangan', 'bagus', 'minimal', 'tolong', 'baless', 'minimal']","['min', 'tolong', 'punya', 'ku', 'gk', 'bisa', 'masuk', 'lobby', 'padahal', 'sinyal', 'ok', 'tibatiba', 'gm', 'nya', 'bilang', 'gin', 'mohon', 'maaf', 'gagal', 'sambung', 'periksa', 'jangan', 'padahal', 'jaring', 'ku', 'baguss', 'min', 'tolong', 'di', 'baless', 'min']","['minimal', 'tolong', 'punya', 'ku', 'tidak', 'bisa', 'masuk', 'lobby', 'padahal', 'sinyal', 'oke', 'tibatiba', 'gm', 'nya', 'bilang', 'game', 'mohon', 'maaf', 'gagal', 'sambung', 'periksa', 'jangan', 'padahal', 'jaring', 'ku', 'bagus', 'minimal', 'tolong', 'di', 'baless', 'minimal']",,negative
I nyoman Krisna yadnya,ini game apasih ga jelas bngt gua cuman afk sebentar trs balik lgi masih kena peringatan afk,,ini game apasih ga jelas bngt gua cuman afk sebentar trs balik lgi masih kena peringatan afk,"['ini', 'game', 'apasih', 'ga', 'jelas', 'bngt', 'gua', 'cuman', 'afk', 'sebentar', 'trs', 'balik', 'lgi', 'masih', 'kena', 'peringatan', 'afk']","['ini', 'game', 'apasih', 'ga', 'jelas', 'bngt', 'gua', 'cuman', 'afk', 'sebentar', 'trs', 'balik', 'lgi', 'masih', 'kena', 'peringatan', 'afk']","['apasih', 'jelas', 'bngt', 'afk', 'sebentar', 'trs', 'balik', 'lgi', 'kena', 'ingat', 'afk']","['ini', 'game', 'apasih', 'ga', 'jelas', 'bngt', 'gua', 'cuman', 'afk', 'sebentar', 'trs', 'balik', 'lgi', 'masih', 'kena', 'ingat', 'afk']","['ini', 'game', 'apasih', 'tidak', 'jelas', 'bngt', 'aku', 'hanya', 'afk', 'sebentar', 'trs', 'balik', 'lgi', 'masih', 'kena', 'ingat', 'afk']",,negative
Rvldi ipall,"GAME RUSAKK NGASIH TIM YANG GA SEIMBANG LAWAKK , MANA JARINGAN SERING NGELAG",2.1.18.11201,"game rusakk ngasih tim yang ga seimbang lawakk , mana jaringan sering ngelag","['game', 'rusakk', 'ngasih', 'tim', 'yang', 'ga', 'seimbang', 'lawakk', ',', 'mana', 'jaringan', 'sering', 'ngelag']","['game', 'rusakk', 'ngasih', 'tim', 'yang', 'ga', 'seimbang', 'lawakk', 'mana', 'jaringan', 'sering', 'ngelag']","['rusakk', 'beri', 'imbang', 'lawakk', 'mana', 'lag']","['game', 'rusakk', 'ngasih', 'tim', 'yang', 'ga', 'imbang', 'lawakk', 'mana', 'jaring', 'sering', 'ngelag']","['game', 'rusakk', 'beri', 'team', 'yang', 'tidak', 'imbang', 'lawakk', 'mana', 'jaring', 'sering', 'lag']",,negative
Muhammad afif Afif,"makin kesini gamenya buriq banget asli sumpah mending kalian unistall aja dehh, game yang gua mainin 6 tahun lamanya semakain jelek aja, masa jaringan bagus kok nggak bisa gerak, skill sama analognya nggak bisa di pencet, terutama di bagian analog kadang mencet sendiri, jadi nggak bisa reccal, udah vakum gw main game ini",,"makin kesini gamenya buriq banget asli sumpah mending kalian unistall aja dehh, game yang gua mainin 6 tahun lamanya semakain jelek aja, masa jaringan bagus kok nggak bisa gerak, skill sama analognya nggak bisa di pencet, terutama di bagian analog kadang mencet sendiri, jadi nggak bisa reccal, udah vakum gw main game ini","['makin', 'kesini', 'gamenya', 'buriq', 'banget', 'asli', 'sumpah', 'mending', 'kalian', 'unistall', 'aja', 'dehh', ',', 'game', 'yang', 'gua', 'mainin', '6', 'tahun', 'lamanya', 'semakain', 'jelek', 'aja', ',', 'masa', 'jaringan', 'bagus', 'kok', 'nggak', 'bisa', 'gerak', ',', 'skill', 'sama', 'analognya', 'nggak', 'bisa', 'di', 'pencet', ',', 'terutama', 'di', 'bagian', 'analog', 'kadang', 'mencet', 'sendiri', ',', 'jadi', 'nggak', 'bisa', 'reccal', ',', 'udah', 'vakum', 'gw', 'main', 'game', 'ini']","['makin', 'kesini', 'gamenya', 'buriq', 'banget', 'asli', 'sumpah', 'mending', 'kalian', 'unistall', 'aja', 'dehh', 'game', 'yang', 'gua', 'mainin', 'tahun', 'lamanya', 'semakain', 'jelek', 'aja', 'masa', 'jaringan', 'bagus', 'kok', 'nggak', 'bisa', 'gerak', 'skill', 'sama', 'analognya', 'nggak', 'bisa', 'di', 'pencet', 'terutama', 'di', 'bagian', 'analog', 'kadang', 'mencet', 'sendiri', 'jadi', 'nggak', 'bisa', 'reccal', 'udah', 'vakum', 'gw', 'main', 'game', 'ini']","['makin', 'buriq', 'banget', 'asli', 'sumpah', 'mending', 'unistall', 'dehh', 'mainin', 'lama', 'semakain', 'jelek', 'masa', 'bagus', 'gerak', 'skill', 'analog', 'pencet', 'utama', 'bagi', 'analog', 'kadang', 'mencet', 'sendiri', 'reccal', 'vakum']","['makin', 'kesini', 'gamenya', 'buriq', 'banget', 'asli', 'sumpah', 'mending', 'kalian', 'unistall', 'aja', 'dehh', 'game', 'yang', 'gua', 'mainin', 'tahun', 'lama', 'semakain', 'jelek', 'aja', 'masa', 'jaring', 'bagus', 'kok', 'nggak', 'bisa', 'gerak', 'skill', 'sama', 'analog', 'nggak', 'bisa', 'di', 'pencet', 'utama', 'di', 'bagi', 'analog', 'kadang', 'mencet', 'sendiri', 'jadi', 'nggak', 'bisa', 'reccal', 'udah', 'vakum', 'gw', 'main', 'game', 'ini']","['makin', 'kesini', 'game', 'buriq', 'banget', 'asli', 'sumpah', 'mending', 'kalian', 'unistall', 'aja', 'dehh', 'game', 'yang', 'aku', 'mainin', 'tahun', 'lama', 'semakain', 'jelek', 'aja', 'masa', 'jaring', 'bagus', 'kok', 'tidak', 'bisa', 'gerak', 'skill', 'sama', 'analog', 'tidak', 'bisa', 'di', 'pencet', 'utama', 'di', 'bagi', 'analog', 'kadang', 'mencet', 'sendiri', 'jadi', 'tidak', 'bisa', 'reccal', 'udah', 'vakum', 'aku', 'main', 'game', 'ini']",,negative
Motor Vario,game bangsat,2.1.18.11201,game bangsat,"['game', 'bangsat']","['game', 'bangsat']",['bangsat'],"['game', 'bangsat']","['game', 'bangsat']",,negative
lutfi,game nya bisa bikin stress dan juga game nya banyak drak sistem di epik game ini sangat sangat buruk jangan sampai anak kecil men dawlod nya karena bisa ngerusakin hp,1.9.99.10932,game nya bisa bikin stress dan juga game nya banyak drak sistem di epik game ini sangat sangat buruk jangan sampai anak kecil men dawlod nya karena bisa ngerusakin hp,"['game', 'nya', 'bisa', 'bikin', 'stress', 'dan', 'juga', 'game', 'nya', 'banyak', 'drak', 'sistem', 'di', 'epik', 'game', 'ini', 'sangat', 'sangat', 'buruk', 'jangan', 'sampai', 'anak', 'kecil', 'men', 'dawlod', 'nya', 'karena', 'bisa', 'ngerusakin', 'hp']","['game', 'nya', 'bisa', 'bikin', 'stress', 'dan', 'juga', 'game', 'nya', 'banyak', 'drak', 'sistem', 'di', 'epik', 'game', 'ini', 'sangat', 'sangat', 'buruk', 'jangan', 'sampai', 'anak', 'kecil', 'men', 'dawlod', 'nya', 'karena', 'bisa', 'ngerusakin', 'hp']","['stres', 'banyak', 'gelap', 'epik', 'buruk', 'jangan', 'sampai', 'anak', 'kecil', 'men', 'dawlod', 'ngerusakin']","['game', 'nya', 'bisa', 'bikin', 'stress', 'dan', 'juga', 'game', 'nya', 'banyak', 'drak', 'sistem', 'di', 'epik', 'game', 'ini', 'sangat', 'sangat', 'buruk', 'jangan', 'sampai', 'anak', 'kecil', 'men', 'dawlod', 'nya', 'karena', 'bisa', 'ngerusakin', 'hp']","['game', 'nya', 'bisa', 'bikin', 'stres', 'dan', 'juga', 'game', 'nya', 'banyak', 'gelap', 'sistem', 'di', 'epik', 'game', 'ini', 'sangat', 'sangat', 'buruk', 'jangan', 'sampai', 'anak', 'kecil', 'men', 'dawlod', 'nya', 'karena', 'bisa', 'ngerusakin', 'hp']",,negative
Muslim firmansyah safei,"semakin hari semakin ga jelas ini montoon..loststeak sampe 8x ditroll,kadang² game leg dan mengakibatkan keluar game sendiri ketika masuk langsung AFK..payah ga bisa memilah milih",2.1.18.11201,"semakin hari semakin ga jelas ini montoon..loststeak sampe 8x ditroll,kadang² game leg dan mengakibatkan keluar game sendiri ketika masuk langsung afk..payah ga bisa memilah milih","['semakin', 'hari', 'semakin', 'ga', 'jelas', 'ini', 'montoon', '..', 'loststeak', 'sampe', '8x', 'ditroll', ',', 'kadang²', 'game', 'leg', 'dan', 'mengakibatkan', 'keluar', 'game', 'sendiri', 'ketika', 'masuk', 'langsung', 'afk', '..', 'payah', 'ga', 'bisa', 'memilah', 'milih']","['semakin', 'hari', 'semakin', 'ga', 'jelas', 'ini', 'montoon', 'loststeak', 'sampe', 'x', 'ditroll', 'kadang', 'game', 'leg', 'dan', 'mengakibatkan', 'keluar', 'game', 'sendiri', 'ketika', 'masuk', 'langsung', 'afk', 'payah', 'ga', 'bisa', 'memilah', 'milih']","['makin', 'makin', 'jelas', 'loststeak', 'sampai', 'ditroll', 'kadang', 'lag', 'akibat', 'keluar', 'sendiri', 'masuk', 'langsung', 'afk', 'payah', 'mem', 'milih']","['makin', 'hari', 'makin', 'ga', 'jelas', 'ini', 'montoon', 'loststeak', 'sampe', 'x', 'ditroll', 'kadang', 'game', 'leg', 'dan', 'akibat', 'keluar', 'game', 'sendiri', 'ketika', 'masuk', 'langsung', 'afk', 'payah', 'ga', 'bisa', 'mem', 'milih']","['makin', 'hari', 'makin', 'tidak', 'jelas', 'ini', 'moonton', 'loststeak', 'sampai', 'kali', 'ditroll', 'kadang', 'game', 'lag', 'dan', 'akibat', 'keluar', 'game', 'sendiri', 'ketika', 'masuk', 'langsung', 'afk', 'payah', 'tidak', 'bisa', 'mem', 'milih']",,negative
Ainur Rahman,"selalu di kasih tim yang tolol"" sama admin . masa main 8x gw MVP tp defeat mulu . kasih tim yg mantep gw mind biar gak gendong bocil"" tolol .",2.1.18.11201,"selalu di kasih tim yang tolol"" sama admin . masa main 8x gw mvp tp defeat mulu . kasih tim yg mantep gw mind biar gak gendong bocil"" tolol .","['selalu', 'di', 'kasih', 'tim', 'yang', 'tolol', ""''"", 'sama', 'admin', '.', 'masa', 'main', '8x', 'gw', 'mvp', 'tp', 'defeat', 'mulu', '.', 'kasih', 'tim', 'yg', 'mantep', 'gw', 'mind', 'biar', 'gak', 'gendong', 'bocil', ""''"", 'tolol', '.']","['selalu', 'di', 'kasih', 'tim', 'yang', 'tolol', 'sama', 'admin', 'masa', 'main', 'x', 'gw', 'mvp', 'tp', 'defeat', 'mulu', 'kasih', 'tim', 'yg', 'mantep', 'gw', 'mind', 'biar', 'gak', 'gendong', 'bocil', 'tolol']","['selalu', 'tolol', 'admin', 'masa', 'mvp', 'defeat', 'mantep', 'mind', 'biar', 'gendong', 'bocil', 'tolol']","['selalu', 'di', 'kasih', 'tim', 'yang', 'tolol', 'sama', 'admin', 'masa', 'main', 'x', 'gw', 'mvp', 'tp', 'defeat', 'mulu', 'kasih', 'tim', 'yg', 'mantep', 'gw', 'mind', 'biar', 'gak', 'gendong', 'bocil', 'tolol']","['selalu', 'di', 'kasih', 'team', 'yang', 'tolol', 'sama', 'admin', 'masa', 'main', 'kali', 'aku', 'mvp', 'tapi', 'defeat', 'mulu', 'kasih', 'team', 'yang', 'mantep', 'aku', 'mind', 'biar', 'tidak', 'gendong', 'bocil', 'tolol']",,negative
early ryan,banyak dark sistem,1.9.93.10904,banyak dark sistem,"['banyak', 'dark', 'sistem']","['banyak', 'dark', 'sistem']","['banyak', 'gelap']","['banyak', 'dark', 'sistem']","['banyak', 'gelap', 'sistem']",,negative
Visual Data,"woy ini setiap main leg mulu, sampe crash di dalam pertandingan. benerin lol",2.1.18.11201,"woy ini setiap main leg mulu, sampe crash di dalam pertandingan. benerin lol","['woy', 'ini', 'setiap', 'main', 'leg', 'mulu', ',', 'sampe', 'crash', 'di', 'dalam', 'pertandingan', '.', 'benerin', 'lol']","['woy', 'ini', 'setiap', 'main', 'leg', 'mulu', 'sampe', 'crash', 'di', 'dalam', 'pertandingan', 'benerin', 'lol']","['woy', 'lag', 'sampai', 'crash', 'dalam', 'tanding', 'rusak', 'lol']","['woy', 'ini', 'tiap', 'main', 'leg', 'mulu', 'sampe', 'crash', 'di', 'dalam', 'tanding', 'benerin', 'lol']","['woy', 'ini', 'tiap', 'main', 'lag', 'mulu', 'sampai', 'crash', 'di', 'dalam', 'tanding', 'rusak', 'lol']",,negative
Arjun Tandai,Game rusak setan,2.1.18.11201,game rusak setan,"['game', 'rusak', 'setan']","['game', 'rusak', 'setan']","['rusak', 'setan']","['game', 'rusak', 'setan']","['game', 'rusak', 'setan']",,negative
Dwi Uchi,game membingungkan tidak di sarankan di bawah umur !!!,2.1.18.11201,game membingungkan tidak di sarankan di bawah umur !!!,"['game', 'membingungkan', 'tidak', 'di', 'sarankan', 'di', 'bawah', 'umur', '!', '!', '!']","['game', 'membingungkan', 'tidak', 'di', 'sarankan', 'di', 'bawah', 'umur']","['bingung', 'saran', 'bawah', 'umur']","['game', 'bingung', 'tidak', 'di', 'saran', 'di', 'bawah', 'umur']","['game', 'bingung', 'tidak', 'di', 'saran', 'di', 'bawah', 'umur']",,negative
bulat Bulat,jngn main game ini la rusak. sinyal nya parah x,2.1.20.11202,jngn main game ini la rusak. sinyal nya parah x,"['jngn', 'main', 'game', 'ini', 'la', 'rusak', '.', 'sinyal', 'nya', 'parah', 'x']","['jngn', 'main', 'game', 'ini', 'la', 'rusak', 'sinyal', 'nya', 'parah', 'x']","['jngn', 'rusak', 'sinyal', 'parah']","['jngn', 'main', 'game', 'ini', 'la', 'rusak', 'sinyal', 'nya', 'parah', 'x']","['jngn', 'main', 'game', 'ini', 'la', 'rusak', 'sinyal', 'nya', 'parah', 'kali']",,negative
Andhika Reyvana,najiiiiiiiisssss kalah terus!!!!!!,,najiiiiiiiisssss kalah terus!!!!!!,"['najiiiiiiiisssss', 'kalah', 'terus', '!', '!', '!', '!', '!', '!']","['najis', 'kalah', 'terus']","['najis', 'kalah']","['najis', 'kalah', 'terus']","['najis', 'kalah', 'terus']",,negative
Angga Pradana,"busuk sekali ini game skin makin banyak kualitas game turun, yang bener aja dong pas ingame stuck gak bisa digerakkan sinyal hijau 37",2.1.18.11201,"busuk sekali ini game skin makin banyak kualitas game turun, yang bener aja dong pas ingame stuck gak bisa digerakkan sinyal hijau 37","['busuk', 'sekali', 'ini', 'game', 'skin', 'makin', 'banyak', 'kualitas', 'game', 'turun', ',', 'yang', 'bener', 'aja', 'dong', 'pas', 'ingame', 'stuck', 'gak', 'bisa', 'digerakkan', 'sinyal', 'hijau', '37']","['busuk', 'sekali', 'ini', 'game', 'skin', 'makin', 'banyak', 'kualitas', 'game', 'turun', 'yang', 'bener', 'aja', 'dong', 'pas', 'ingame', 'stuck', 'gak', 'bisa', 'digerakkan', 'sinyal', 'hijau']","['busuk', 'skin', 'makin', 'banyak', 'kualitas', 'turun', 'benar', 'ingame', 'stuck', 'gerak', 'sinyal', 'hijau']","['busuk', 'sekali', 'ini', 'game', 'skin', 'makin', 'banyak', 'kualitas', 'game', 'turun', 'yang', 'bener', 'aja', 'dong', 'pas', 'ingame', 'stuck', 'gak', 'bisa', 'gerak', 'sinyal', 'hijau']","['busuk', 'sekali', 'ini', 'game', 'skin', 'makin', 'banyak', 'kualitas', 'game', 'turun', 'yang', 'benar', 'aja', 'dong', 'pas', 'ingame', 'stuck', 'tidak', 'bisa', 'gerak', 'sinyal', 'hijau']",,negative
