userName,content,label
Rondo Tuwek,kil banyak ga mvp malah yang mati banyak kil 1 mvp ga jelas hok,neutral
Frizki Riski,Gem apa ini iklannya bikin darah tinggi,neutral
Yuni Baru,game ny bagus,positive
Adi Pratama,bagus,positive
Refa Sragen,"game nya seru banget mirip kaya mobile legends dan,mudah banget maininnya hero nya bagus bagus terus ada pentakill nyaa",positive
Trifonio de Jesus freitas,grafiknya bagus bangat,positive
Atun 123,map nya di perbarui donggg plisss,positive
Hamzah Nasir,"game ini sangat Bagus, menarik dan keren. tidak seperti game sebelah (mobile legends) bisa bikin gila dan jelek",positive
Ratu Ayu,bagus bgt,positive
jelita Kaur,ini.sangat seru,positive
